IV,K,Lambda,S,V,ask,bid,charm,color,delta,exp,gamma,itm,openInterest,opt_type,q,r,rho,speed,t,theta,ultima,vanna,vega,veta,volume,vomma
0.7227,305.0,4.6502,387.12,82.34,82.78,81.89,0.004,0.0002,0.9891,2021-12-09,0.0007,True,1.0,call,0.0,0.01,0.0652,-0.0,0.02169330289193303,-0.0828,0.3169,-4.3735,0.0163,0.0062,1.0,0.0039
0.4517,345.0,8.7375,387.12,42.6,43.05,42.16,0.0089,0.0004,0.9615,2021-12-09,0.0032,True,32.0,call,0.0,0.01,0.0715,-0.0002,0.02169330289193303,-0.145,0.0046,-2.8142,0.0477,0.012,2.0,0.0142
0.4028,355.0,10.97,387.12,32.9,33.34,32.46,0.0118,0.0004,0.9323,2021-12-09,0.0057,True,10.0,call,0.0,0.01,0.0712,-0.0004,0.02169330289193303,-0.1987,-0.847,-2.0542,0.0746,0.0147,10.0,0.0162
0.3943,357.0,11.5337,387.12,30.99,31.43,30.55,0.0124,0.0004,0.9233,2021-12-09,0.0064,True,1.0,call,0.0,0.01,0.0708,-0.0004,0.02169330289193303,-0.2134,-1.0807,-1.8877,0.0821,0.0153,1.0,0.0155
0.3815,360.0,12.4728,387.12,28.16,28.58,27.73,0.0132,0.0003,0.9073,2021-12-09,0.0076,True,5.0,call,0.0,0.01,0.0701,-0.0005,0.02169330289193303,-0.2368,-1.4435,-1.642,0.0946,0.016,5.0,0.0135
0.376,362.0,13.1359,387.12,26.32,26.72,25.92,0.0137,0.0003,0.8931,2021-12-09,0.0086,True,2.0,call,0.0,0.01,0.0693,-0.0005,0.02169330289193303,-0.2582,-1.6729,-1.4581,0.105,0.0164,1.0,0.0109
0.3656,364.0,13.9259,387.12,24.46,24.85,24.08,0.0141,0.0002,0.8799,2021-12-09,0.0096,True,6.0,call,0.0,0.01,0.0686,-0.0006,0.02169330289193303,-0.2721,-1.8944,-1.315,0.1141,0.0166,6.0,0.0083
0.3564,366.0,14.7817,387.12,22.63,23.03,22.23,0.0143,0.0001,0.8641,2021-12-09,0.0107,True,2.0,call,0.0,0.01,0.0677,-0.0006,0.02169330289193303,-0.2884,-2.0866,-1.1656,0.1244,0.0168,0.0,0.0045
0.3516,368.0,15.635,387.12,20.88,21.24,20.53,0.0144,-0.0,0.8433,2021-12-09,0.012,True,7.0,call,0.0,0.01,0.0663,-0.0006,0.02169330289193303,-0.3122,-2.1751,-0.9961,0.1368,0.0169,1.0,-0.0012
0.34,370.0,16.7285,387.12,19.08,19.37,18.8,0.0143,-0.0002,0.8245,2021-12-09,0.0133,True,5.0,call,0.0,0.01,0.0651,-0.0007,0.02169330289193303,-0.3244,-2.2847,-0.8686,0.1472,0.0169,47.0,-0.0069
0.3333,372.0,17.8124,387.12,17.38,17.65,17.11,0.0138,-0.0003,0.7997,2021-12-09,0.0147,True,10.0,call,0.0,0.01,0.0634,-0.0007,0.02169330289193303,-0.3443,-2.2377,-0.7238,0.1598,0.0167,1.0,-0.0148
0.3253,374.0,19.0552,387.12,15.7,15.95,15.45,0.0132,-0.0005,0.7728,2021-12-09,0.0163,True,20.0,call,0.0,0.01,0.0615,-0.0007,0.02169330289193303,-0.361,-2.1108,-0.5927,0.1719,0.0165,6.0,-0.0239
0.321,375.0,19.7306,387.12,14.88,15.16,14.61,0.0127,-0.0006,0.7584,2021-12-09,0.017,True,3.0,call,0.0,0.01,0.0605,-0.0007,0.02169330289193303,-0.3683,-2.0149,-0.5315,0.1779,0.0163,33.0,-0.0287
0.3174,376.0,20.4318,387.12,14.07,14.33,13.8,0.0121,-0.0007,0.7426,2021-12-09,0.0178,True,28.0,call,0.0,0.01,0.0593,-0.0007,0.02169330289193303,-0.3762,-1.8791,-0.4701,0.184,0.0161,2.0,-0.034
0.3137,377.0,21.1503,387.12,13.29,13.54,13.04,0.0115,-0.0008,0.7261,2021-12-09,0.0186,True,12.0,call,0.0,0.01,0.0581,-0.0007,0.02169330289193303,-0.3835,-1.7205,-0.4123,0.1899,0.0159,12.0,-0.0395
0.3094,378.0,21.9605,387.12,12.5,12.75,12.24,0.0107,-0.0009,0.7091,2021-12-09,0.0194,True,46.0,call,0.0,0.01,0.0568,-0.0007,0.02169330289193303,-0.3891,-1.5505,-0.3579,0.1955,0.0157,32.0,-0.0453
0.3064,379.0,22.7268,387.12,11.76,11.98,11.55,0.0098,-0.001,0.6904,2021-12-09,0.0202,True,54.0,call,0.0,0.01,0.0554,-0.0006,0.02169330289193303,-0.396,-1.3394,-0.3042,0.201,0.0155,31.0,-0.0511
0.3018,380.0,23.639,387.12,11.0,11.22,10.77,0.0089,-0.0011,0.6717,2021-12-09,0.021,True,406.0,call,0.0,0.01,0.054,-0.0006,0.02169330289193303,-0.3995,-1.1411,-0.2559,0.2061,0.0153,103.0,-0.0572
0.2942,382.0,25.5167,387.12,9.57,9.72,9.41,0.0067,-0.0013,0.6308,2021-12-09,0.0225,True,40.0,call,0.0,0.01,0.0509,-0.0005,0.02169330289193303,-0.4061,-0.7048,-0.1658,0.2151,0.0149,16.0,-0.0691
0.2899,383.0,26.5834,387.12,8.87,9.01,8.73,0.0054,-0.0014,0.6091,2021-12-09,0.0232,True,26.0,call,0.0,0.01,0.0492,-0.0004,0.02169330289193303,-0.4069,-0.501,-0.1257,0.2189,0.0147,4.0,-0.0748
0.2856,384.0,27.6885,387.12,8.2,8.34,8.07,0.0041,-0.0015,0.5865,2021-12-09,0.0239,True,47.0,call,0.0,0.01,0.0475,-0.0004,0.02169330289193303,-0.4065,-0.3159,-0.0889,0.2221,0.0145,12.0,-0.0805
