IV,K,Lambda,S,V,ask,bid,charm,color,delta,exp,gamma,itm,openInterest,opt_type,q,r,rho,speed,t,theta,ultima,vanna,vega,veta,volume,vomma
1.4062,200.0,-19.356,387.12,0.01,0.02,0.0,0.0003,0.0,-0.0005,2021-12-09,0.0,False,1.0,put,0.0,0.01,-0.0,-0.0,0.02169330289193303,-0.0089,0.0368,-0.0004,0.001,0.0007,1.0,0.0
1.25,225.0,-23.2272,387.12,0.02,0.03,0.0,0.0007,0.0,-0.0012,2021-12-09,0.0001,False,1.0,put,0.0,0.01,-0.0001,-0.0,0.02169330289193303,-0.0176,0.0695,-0.0008,0.0022,0.0014,5.0,0.0006
1.1719,230.0,-19.356,387.12,0.02,0.03,0.0,0.0006,0.0,-0.001,2021-12-09,0.0,False,349.0,put,0.0,0.01,-0.0001,-0.0,0.02169330289193303,-0.0136,0.0727,-0.0009,0.0018,0.0012,5.0,0.0
1.1328,235.0,-19.356,387.12,0.02,0.03,0.0,0.0006,0.0,-0.001,2021-12-09,0.0001,False,1.0,put,0.0,0.01,-0.0001,-0.0,0.02169330289193303,-0.0143,0.083,-0.0009,0.002,0.0013,0.0,0.0007
1.0938,240.0,-21.2916,387.12,0.02,0.03,0.0,0.0007,0.0,-0.0011,2021-12-09,0.0001,False,2.0,put,0.0,0.01,-0.0001,-0.0,0.02169330289193303,-0.015,0.094,-0.0009,0.0022,0.0013,2.0,0.0007
0.9375,255.0,-19.356,387.12,0.02,0.04,0.0,0.0006,0.0,-0.001,2021-12-09,0.0001,False,103.0,put,0.0,0.01,-0.0001,-0.0,0.02169330289193303,-0.0112,0.1215,-0.0011,0.0019,0.0012,0.0,0.0009
0.8203,270.0,-23.2272,387.12,0.02,0.05,0.0,0.0007,0.0,-0.0012,2021-12-09,0.0001,False,21.0,put,0.0,0.01,-0.0001,-0.0,0.02169330289193303,-0.0114,0.1717,-0.0013,0.0022,0.0014,1.0,0.001
0.8203,275.0,-24.5176,387.12,0.03,0.05,0.01,0.0011,0.0001,-0.0019,2021-12-09,0.0001,False,13.0,put,0.0,0.01,-0.0002,-0.0,0.02169330289193303,-0.0179,0.2092,-0.0018,0.0035,0.002,1.0,0.0009
0.7812,280.0,-25.808,387.12,0.03,0.06,0.01,0.0011,0.0001,-0.002,2021-12-09,0.0001,False,26.0,put,0.0,0.01,-0.0002,-0.0,0.02169330289193303,-0.018,0.2373,-0.0019,0.0037,0.0021,1.0,0.0009
0.7617,285.0,-26.1306,387.12,0.04,0.06,0.02,0.0014,0.0001,-0.0027,2021-12-09,0.0002,False,12.0,put,0.0,0.01,-0.0002,-0.0,0.02169330289193303,-0.0224,0.2693,-0.0025,0.0047,0.0025,2.0,0.0017
0.7422,290.0,-27.0984,387.12,0.05,0.07,0.02,0.0017,0.0001,-0.0035,2021-12-09,0.0002,False,8.0,put,0.0,0.01,-0.0003,-0.0,0.02169330289193303,-0.0279,0.3036,-0.0031,0.006,0.003,8.0,0.0016
0.7227,295.0,-29.034,387.12,0.06,0.08,0.03,0.0021,0.0001,-0.0045,2021-12-09,0.0003,False,51.0,put,0.0,0.01,-0.0004,-0.0,0.02169330289193303,-0.0345,0.3346,-0.0036,0.0076,0.0036,50.0,0.0023
0.6836,300.0,-31.6148,387.12,0.06,0.09,0.04,0.0022,0.0001,-0.0049,2021-12-09,0.0004,False,18.0,put,0.0,0.01,-0.0004,-0.0,0.02169330289193303,-0.0347,0.3805,-0.0038,0.0081,0.0038,14.0,0.0032
0.6641,305.0,-30.9696,387.12,0.08,0.1,0.05,0.0027,0.0001,-0.0064,2021-12-09,0.0005,False,2.0,put,0.0,0.01,-0.0006,-0.0,0.02169330289193303,-0.043,0.4097,-0.0051,0.0103,0.0045,2.0,0.0037
0.625,310.0,-33.3891,387.12,0.08,0.11,0.06,0.0029,0.0002,-0.0069,2021-12-09,0.0005,False,128.0,put,0.0,0.01,-0.0006,-0.0,0.02169330289193303,-0.0433,0.4653,-0.0053,0.011,0.0047,4.0,0.0039
0.5957,315.0,-32.131,387.12,0.1,0.12,0.07,0.0033,0.0002,-0.0083,2021-12-09,0.0007,False,15.0,put,0.0,0.01,-0.0007,-0.0001,0.02169330289193303,-0.0484,0.5086,-0.0068,0.0129,0.0053,110.0,0.0053
0.5664,320.0,-35.1927,387.12,0.11,0.14,0.08,0.0038,0.0002,-0.01,2021-12-09,0.0008,False,39.0,put,0.0,0.01,-0.0009,-0.0001,0.02169330289193303,-0.0542,0.5487,-0.0076,0.0152,0.006,7.0,0.006
0.5371,325.0,-36.0319,387.12,0.13,0.16,0.1,0.0043,0.0003,-0.0121,2021-12-09,0.001,False,32.0,put,0.0,0.01,-0.001,-0.0001,0.02169330289193303,-0.0608,0.5802,-0.0092,0.018,0.0067,141.0,0.0073
0.5078,330.0,-35.8086,387.12,0.16,0.19,0.13,0.005,0.0003,-0.0148,2021-12-09,0.0013,False,46.0,put,0.0,0.01,-0.0013,-0.0001,0.02169330289193303,-0.0684,0.5935,-0.0116,0.0214,0.0075,22.0,0.0091
0.4834,335.0,-37.1635,387.12,0.2,0.23,0.17,0.0059,0.0003,-0.0192,2021-12-09,0.0017,False,62.0,put,0.0,0.01,-0.0017,-0.0001,0.02169330289193303,-0.0813,0.5363,-0.0145,0.0267,0.0086,3.0,0.011
0.459,340.0,-37.5209,387.12,0.26,0.29,0.23,0.007,0.0004,-0.0252,2021-12-09,0.0022,False,94.0,put,0.0,0.01,-0.0022,-0.0002,0.02169330289193303,-0.0969,0.409,-0.0188,0.0335,0.0099,4.0,0.0129
0.4346,345.0,-39.0639,387.12,0.33,0.36,0.3,0.0083,0.0004,-0.0333,2021-12-09,0.003,False,88.0,put,0.0,0.01,-0.0029,-0.0002,0.02169330289193303,-0.1156,0.1803,-0.0236,0.0422,0.0113,10.0,0.0155
0.4126,350.0,-38.9701,387.12,0.45,0.48,0.42,0.0098,0.0004,-0.0453,2021-12-09,0.004,False,308.0,put,0.0,0.01,-0.0039,-0.0003,0.02169330289193303,-0.141,-0.2106,-0.0312,0.0543,0.0129,12.0,0.0171
0.5762,342.0,-58.068,387.12,0.05,0.07,0.03,0.0084,0.0009,-0.0075,2021-12-04,0.001,False,544.0,put,0.0,0.01,-0.0002,-0.0001,0.007994672754946728,-0.0706,0.3508,-0.006,0.0072,0.0083,11.0,0.0083
0.5664,342.5,-55.7453,387.12,0.05,0.07,0.03,0.0082,0.0009,-0.0072,2021-12-04,0.001,False,396.0,put,0.0,0.01,-0.0002,-0.0001,0.007994672754946728,-0.0674,0.3646,-0.0061,0.007,0.0082,26.0,0.0086
0.5664,343.0,-60.3907,387.12,0.05,0.07,0.03,0.0087,0.0009,-0.0078,2021-12-04,0.0011,False,37.0,put,0.0,0.01,-0.0002,-0.0001,0.007994672754946728,-0.0723,0.3628,-0.006,0.0075,0.0086,25.0,0.0092
0.5664,344.0,-59.3584,387.12,0.06,0.08,0.03,0.0098,0.001,-0.0092,2021-12-04,0.0013,False,93.0,put,0.0,0.01,-0.0003,-0.0002,0.007994672754946728,-0.0829,0.3567,-0.0071,0.0086,0.0094,17.0,0.0102
0.5469,345.0,-55.4872,387.12,0.06,0.08,0.03,0.0093,0.001,-0.0086,2021-12-04,0.0012,False,513.0,put,0.0,0.01,-0.0003,-0.0002,0.007994672754946728,-0.0758,0.3845,-0.0074,0.0081,0.0091,103.0,0.01
0.5371,346.0,-58.068,387.12,0.06,0.08,0.03,0.0097,0.001,-0.009,2021-12-04,0.0013,False,115.0,put,0.0,0.01,-0.0003,-0.0002,0.007994672754946728,-0.0776,0.3945,-0.0075,0.0084,0.0094,7.0,0.0108
0.5273,347.0,-61.294,387.12,0.06,0.08,0.04,0.01,0.001,-0.0095,2021-12-04,0.0014,False,436.0,put,0.0,0.01,-0.0003,-0.0002,0.007994672754946728,-0.0795,0.4082,-0.0076,0.0088,0.0096,11.0,0.0117
0.5273,347.5,-66.4556,387.12,0.06,0.08,0.04,0.0106,0.0011,-0.0103,2021-12-04,0.0015,False,53.0,put,0.0,0.01,-0.0003,-0.0002,0.007994672754946728,-0.0854,0.4039,-0.0075,0.0095,0.0101,14.0,0.0121
0.5176,348.0,-64.52,387.12,0.06,0.07,0.04,0.0104,0.0011,-0.01,2021-12-04,0.0015,False,25.0,put,0.0,0.01,-0.0003,-0.0002,0.007994672754946728,-0.0816,0.4201,-0.0076,0.0092,0.0099,3.0,0.0125
0.5078,349.0,-67.746,387.12,0.06,0.09,0.04,0.0108,0.0011,-0.0105,2021-12-04,0.0016,False,106.0,put,0.0,0.01,-0.0003,-0.0002,0.007994672754946728,-0.0837,0.4314,-0.0077,0.0096,0.0103,24.0,0.0133
0.5078,350.0,-60.0036,387.12,0.08,0.1,0.05,0.0121,0.0012,-0.0124,2021-12-04,0.0018,False,10645.0,put,0.0,0.01,-0.0004,-0.0002,0.007994672754946728,-0.0966,0.4113,-0.01,0.0111,0.0113,783.0,0.014
